,Close,Volume
2010-05-31,999.7230430342087,3571951
2010-06-01,1999.615088679588,1156084
2010-06-02,2999.4735877888506,2041135
2010-06-03,3998.006630402841,632334
2010-06-04,4998.058302178419,4723060
2010-06-05,5999.709638588957,350772
2010-06-06,6998.06099070319,4138405
2010-06-07,7997.250916104284,4929449
2010-06-08,8998.027841256038,4106968
2010-06-09,10000.504405553238,3243766
2010-06-10,10999.908449975555,4647233
2010-06-11,11997.877254188854,3761866
2010-06-12,12997.170688798733,2017753
2010-06-13,13995.876675047191,1902807
2010-06-14,14998.366763145583,819078
2010-06-15,16001.342362726586,2999670
2010-06-16,17000.40049082304,2717098
2010-06-17,18000.722644463753,2905800
2010-06-18,19003.8300681679,1015527
2010-06-19,20002.462693671056,1017783
2010-06-20,21002.284133725127,2611161
2010-06-21,22002.79605180447,2557355
2010-06-22,23005.16737328544,3230808
2010-06-23,24007.03939839229,4348978
2010-06-24,25010.75859099193,2792736
2010-06-25,26009.657565865513,4418862
2010-06-26,27009.262163740605,1927697
2010-06-27,28011.262683534747,2483813
2010-06-28,29010.88797759304,2988114
2010-06-29,30012.87172327193,222918
2010-06-30,31013.053066559416,4565807
2010-07-01,32014.16368682344,2560650
2010-07-02,33013.790510751096,3117379
2010-07-03,34011.90346926751,2348125
2010-07-04,35014.07612017618,3388353
2010-07-05,36013.18132314416,3155070
2010-07-06,37013.54327507932,612392
2010-07-07,38013.9384730224,4314733
2010-07-08,39011.18221056268,1502991
2010-07-09,40010.43484701968,236482
2010-07-10,41011.949811595405,174501
2010-07-11,42010.21311508602,1320018
2010-07-12,43009.781440835315,4059186
2010-07-13,44013.10776273661,2135903
2010-07-14,45015.91964064249,1516270
2010-07-15,46018.00635810568,1926244
2010-07-16,47016.143207150584,2878149
2010-07-17,48015.022024249905,4242969
2010-07-18,49013.0705949817,2312307
2010-07-19,50011.92735193588,686816
2010-07-20,51011.28890183687,231109
2010-07-21,52010.81400916733,1000192
2010-07-22,53013.667229239036,2052855
2010-07-23,54012.884201013534,3623965
2010-07-24,55011.213366164164,2806639
2010-07-25,56012.528320706166,4149947
2010-07-26,57014.47032813622,1185074
2010-07-27,58014.38002727553,3683734
2010-07-28,59015.4217120374,2133996
2010-07-29,60017.09058341054,2892771
2010-07-30,61018.77418241172,3482989
2010-07-31,62016.42219025852,1266187
2010-08-01,63014.67037988344,678998
2010-08-02,64013.84845174722,4103535
2010-08-03,65012.240280301754,2857839
2010-08-04,66012.60005498641,1479459
2010-08-05,67012.28675190495,2981497
2010-08-06,68016.08981023256,2341643
2010-08-07,69015.85787228172,1313631
2010-08-08,70016.5269307141,1469088
2010-08-09,71012.40031347865,1002568
2010-08-10,72016.88442697516,4138998
2010-08-11,73018.47079819716,3930671
2010-08-12,74015.99835539237,1688729
2010-08-13,75018.49568302828,1331421
2010-08-14,76019.49281011036,1850223
2010-08-15,77018.83393124548,1050698
2010-08-16,78018.32962710716,1640590
2010-08-17,79018.52839439818,1015556
2010-08-18,80017.86239729202,1979163
2010-08-19,81017.72363882186,3784745
2010-08-20,82018.85688195791,179740
2010-08-21,83017.33866638287,2330256
2010-08-22,84016.33072657709,3075989
2010-08-23,85018.1072926249,2488223
2010-08-24,86017.88282619504,4459671
2010-08-25,87018.96944566854,977481
2010-08-26,88018.72314421168,4812652
2010-08-27,89019.27303106351,3350951
2010-08-28,90020.15015182698,3384845
2010-08-29,91023.4347807609,908102
2010-08-30,92026.04568387626,1302832
2010-08-31,93029.56177902491,2819456
2010-09-01,94029.53806268492,4352980
2010-09-02,95030.60736478664,477698
2010-09-03,96033.55424059652,2226567
2010-09-04,97034.20103968374,3065694
2010-09-05,98031.33228399874,1569831
2010-09-06,99033.41223747461,1169527
2010-09-07,100031.54915701336,612813
2010-09-08,101031.76927834105,3155376
2010-09-09,102031.0297351563,2475987
2010-09-10,103029.31470301894,2977827
2010-09-11,104026.17165798336,4272206
2010-09-12,105026.55875408331,4117085
2010-09-13,106026.0583951072,311324
2010-09-14,107026.16362182269,3730702
2010-09-15,108027.2018610213,4328071
2010-09-16,109031.05839558803,2767926
2010-09-17,110028.73217253241,2586731
2010-09-18,111026.38814708721,3703297
2010-09-19,112024.81546240549,3828793
2010-09-20,113023.62288082035,2405455
2010-09-21,114025.83007733033,4191520
2010-09-22,115029.86713531507,4463137
2010-09-23,116028.21036024629,3006356
2010-09-24,117030.36212088595,2980378
2010-09-25,118029.53554027242,3300457
2010-09-26,119030.41153019274,516625
2010-09-27,120029.80737257497,4548054
2010-09-28,121027.76589982533,3795948
2010-09-29,122028.12522120672,4199888
2010-09-30,123028.2427414665,944494
2010-10-01,124030.77982057475,618655
2010-10-02,125033.0842367451,258581
2010-10-03,126038.76546436886,288145
2010-10-04,127040.72700815127,1505834
2010-10-05,128040.46386102735,1244211
2010-10-06,129041.9473266788,146654
2010-10-07,130046.10879375835,4980259
2010-10-08,131047.69748516119,1212082
2010-10-09,132046.90154517718,1576943
2010-10-10,133046.96615355878,3823064
2010-10-11,134045.13300079625,2166656
2010-10-12,135047.94112906273,3471123
2010-10-13,136049.8817673933,2472298
2010-10-14,137048.28421098017,4759168
2010-10-15,138048.7520464563,4451175
2010-10-16,139047.75442414693,816194
2010-10-17,140051.53462300627,1715320
2010-10-18,141051.45744330835,3198191
2010-10-19,142054.30631814987,1217215
2010-10-20,143054.27341099593,571894
2010-10-21,144051.70961882637,1881057
2010-10-22,145050.14218281515,2605925
2010-10-23,146051.0138025939,332842
2010-10-24,147049.16357545613,4024623
2010-10-25,148048.44885076492,2818506
2010-10-26,149047.54475979175,4187080
2010-10-27,150050.36112288735,4391222
2010-10-28,151051.49424444407,3659761
2010-10-29,152051.50162861613,831582
2010-10-30,153056.54646255067,3947948
2010-10-31,154058.19719675637,121205
2010-11-01,155056.86948516918,3956775
2010-11-02,156056.04181540807,3062633
2010-11-03,157057.54800502563,4170619
2010-11-04,158055.37025312183,1636578
2010-11-05,159059.8640041938,4817072
2010-11-06,160059.84252503983,1858695
2010-11-07,161059.66116118108,3454831
